date,UX2-UX5,UX5-UX8,CSI BARC-BASPCAAA,SGEPVBE-SGEPLBE,UVOLNYE-DVOLNYE,MRI CITI Index,MRIST Index,CESIG10 Index,CESIUSD Index
2003-07-15,,,-173.92000000000002,9.889999999999986,,0.17800000000000002,0.526,12.1,19.0
2003-07-16,,,-150.66,12.049999999999955,,0.222,0.568,11.0,15.2
2003-07-17,,,-149.88000000000002,7.810000000000059,,0.168,0.454,12.0,16.6
2003-07-18,,,-148.99,10.710000000000036,,0.134,0.35,11.9,15.3
2003-07-21,,,-157.31,5.860000000000014,,0.121,0.431,11.4,11.9
2003-07-22,,,-135.06,4.519999999999982,,0.121,0.366,11.7,9.9
2003-07-23,,,-141.46,3.439999999999941,,0.121,0.335,10.5,7.1
2003-07-24,,,-146.87,9.590000000000032,,0.126,0.361,9.3,6.7
2003-07-25,,,-144.81,12.279999999999973,,0.11900000000000001,0.31,11.0,9.4
2003-07-28,,,-154.04999999999998,16.399999999999977,,0.149,0.293,11.8,7.4
2003-07-29,,,-151.15,15.779999999999973,,0.185,0.391,7.2,-4.9
2003-07-30,,,-129.38,18.639999999999986,,0.196,0.424,4.4,-4.6
2003-07-31,,,-159.14000000000001,20.980000000000018,,0.23199999999999998,0.493,13.3,16.1
2003-08-01,,,-142.12,21.529999999999973,,0.301,0.686,11.7,11.7
2003-08-04,,,-138.21,19.67999999999995,,0.32,0.726,14.8,13.1
2003-08-05,,,-160.3,21.590000000000032,,0.294,0.642,22.4,27.9
2003-08-06,,,-135.65,16.049999999999955,,0.287,0.726,25.8,28.9
2003-08-07,,,-145.21,14.559999999999945,,0.24100000000000002,0.586,23.5,30.1
2003-08-08,,,-145.19,14.220000000000027,,0.166,0.554,24.9,31.7
2003-08-11,,,-150.57,14.069999999999936,,0.212,0.482,25.8,40.3
